name_track,artist_track,uri_track,popularity,tempo,genres
Independiente,Ozuna,spotify:track:5O1mMmRBq1N0BLZQaJrqyY,37,180,"puerto rican pop, reggaeton, trap latino, urbano latino"
Machucando,Daddy Yankee,spotify:track:3FWAWggrMlMaSuBrf5cgKP,56,94,"latin hip hop, reggaeton, trap latino, urbano latino"
Cójela Que Va Sin Jockey,Luny Tunes,spotify:track:5PlXm1EYkNmVH3o85Bpfql,58,95,reggaeton
No Me Dejes Solo,Daddy Yankee,spotify:track:1EhM7nYYRpH2kzPdlnEpHa,0,96,"latin hip hop, reggaeton, trap latino, urbano latino"
DALE BANDA,Lunay,spotify:track:3uvI3MwIB42qk0QEGtQpgT,36,100,"reggaeton, reggaeton flow, trap latino, urbano latino"
Espina,Anuel AA,spotify:track:1jsFnIYH6MnEjMyvJn7HF1,64,176,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
TBC,Lunay,spotify:track:1YU5ieZXPkwHoDSob6n6Zo,46,95,"reggaeton, reggaeton flow, trap latino, urbano latino"
LE GUSTA QUE LA VEAN,Lunay,spotify:track:3Xaiksu578RaSvmvq893dg,40,94,"reggaeton, reggaeton flow, trap latino, urbano latino"
Pikete,Nicky Jam,spotify:track:50QqjYyqOapIo9CG7aBvKw,45,94,"latin hip hop, reggaeton, trap latino, urbano latino"
Mala Influencia,Noriel,spotify:track:28sOLLPgDAdBzDuhkuuLhz,47,100,"reggaeton, trap latino, urbano latino"
Millonario (Remix) [feat. Ozuna],Messiah,spotify:track:1KwMVzMArDnM5m2LNuzXAO,46,84,"ccm, christian alternative rock, christian indie, christian music, worship"
Conteo,Don Omar,spotify:track:1hAdFL0nX23YcYxjJ02yxs,58,93,"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino"
FUMETEO,Feid,spotify:track:5A7JEsHGffQ1w3Qp0iih1d,59,94,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
Dime Dónde,Cazzu,spotify:track:4cvNRoECGS2sUiw5Q5RRsb,53,172,"gruperas inmortales, musica mexicana, nu-cumbia, ranchera, tropical"
No Quiero Amor,Rvfv,spotify:track:0H0jMZIQY74YRIkjgssfsr,52,105,"drill espanol, flamenco urbano, urbano espanol, urbano latino"
BOBO,Mariah Angeliq,spotify:track:52wspfpsfPcsw7pw8dnQyM,55,92,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Mi Ex,J.Beren,spotify:track:19zxUWz0l2DQk0ey8rJq9M,20,128,
Este Loko,Ozuna,spotify:track:75kntiN9imnekH6siBHc0x,51,172,"puerto rican pop, reggaeton, trap latino, urbano latino"
DEJA VU,Tainy,spotify:track:2BfkUFn2EbEKYOMkm90HuP,51,90,"pop reggaeton, reggaeton, trap latino, urbano latino"
Normal,Arcángel,spotify:track:7B7NxUQL8uX7l8WRzmcUFB,42,180,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
Mamasita Mala (feat. Ozuna),Ñengo Flow,spotify:track:5gruJ17yUyEcZrxOvOj1d7,57,170,"reggaeton, trap latino, urbano latino"
Boomerang,Sech,spotify:track:6E8uqptcabNz9ym19FkDye,62,164,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
La Mamá de la Mamá,El Alfa,spotify:track:2L95U6syP0bV3fkYYOzmiW,72,130,"reggaeton, trap latino, urbano latino"
EL PLAN,Tainy,spotify:track:4BEhYjP8feURPfmrHNc4dM,47,90,"pop reggaeton, reggaeton, trap latino, urbano latino"
Hasta Abajo Le Doy,Yandel,spotify:track:4sxXjoO8OYog3ysO2Nd1Bm,37,91,"latin hip hop, reggaeton, trap latino, urbano latino"
Playita,Wisin,spotify:track:2kW6XSEKd0ARVB6P65jgtq,42,98,"electro latino, reggaeton, trap latino, urbano latino"
